CustomerID,CustomerName,City,Country
1,Customer_1,Alexandria,Egypt
2,Customer_2,Cairo,Egypt
3,Customer_3,Cairo,Egypt
4,Customer_4,Alexandria,Egypt
5,Customer_5,Cairo,Egypt
6,Customer_6,Cairo,Egypt
7,Customer_7,Cairo,Egypt
8,Customer_8,Cairo,Egypt
9,Customer_9,Alexandria,Egypt
10,Customer_10,Cairo,Egypt
11,Customer_11,Unknown,Egypt
12,Customer_12,Alexandria,Egypt
13,Customer_13,Alexandria,Egypt
14,Customer_14,Cairo,Egypt
15,Customer_15,Alexandria,Egypt
16,Customer_16,Giza,Egypt
17,Customer_17,Cairo,Egypt
18,Customer_18,Cairo,Egypt
19,Customer_19,Cairo,Egypt
20,Customer_20,Cairo,Egypt
21,Customer_21,Cairo,Egypt
22,Customer_22,Alexandria,Egypt
23,Customer_23,Alexandria,Egypt
24,Customer_24,Cairo,Egypt
25,Customer_25,Alexandria,Egypt
26,Unknown Customer,Cairo,Egypt
27,Customer_27,Alexandria,Egypt
28,Customer_28,Alexandria,Egypt
29,Customer_29,Alexandria,Egypt
30,Customer_30,Alexandria,Egypt
31,Customer_31,Giza,Egypt
32,Customer_32,Cairo,Egypt
33,Customer_33,Giza,Egypt
34,Customer_34,Alexandria,Egypt
35,Customer_35,Cairo,Egypt
36,Customer_36,Cairo,Egypt
37,Customer_37,Cairo,Egypt
38,Customer_38,Alexandria,Egypt
39,Customer_39,Giza,Egypt
40,Customer_40,Cairo,Egypt
41,Customer_41,Cairo,Egypt
42,Customer_42,Cairo,Egypt
43,Customer_43,Cairo,Egypt
44,Customer_44,Cairo,Egypt
45,Customer_45,Cairo,Egypt
46,Customer_46,Cairo,Egypt
47,Customer_47,Giza,Egypt
48,Customer_48,Cairo,Egypt
49,Customer_49,Cairo,Egypt
50,Customer_50,Cairo,Egypt
51,Customer_51,Alexandria,Egypt
52,Customer_52,Cairo,Egypt
53,Customer_53,Cairo,Egypt
54,Customer_54,Alexandria,Egypt
55,Customer_55,Giza,Egypt
56,Customer_56,Alexandria,Egypt
57,Customer_57,Cairo,Egypt
58,Customer_58,Giza,Egypt
59,Customer_59,Cairo,Egypt
60,Customer_60,Alexandria,Egypt
61,Customer_61,Cairo,Egypt
62,Customer_62,Alexandria,Egypt
63,Customer_63,Alexandria,Egypt
64,Customer_64,Cairo,Egypt
65,Customer_65,Alexandria,Egypt
66,Customer_66,Cairo,Egypt
67,Customer_67,Alexandria,Egypt
68,Customer_68,Cairo,Egypt
69,Customer_69,Cairo,Egypt
70,Customer_70,Alexandria,Egypt
71,Customer_71,Cairo,Egypt
72,Customer_72,Cairo,Egypt
73,Customer_73,Cairo,Egypt
74,Customer_74,Cairo,Egypt
75,Customer_75,Cairo,Egypt
76,Customer_76,Giza,Egypt
77,Customer_77,Cairo,Egypt
78,Customer_78,Giza,Egypt
79,Customer_79,Alexandria,Egypt
80,Customer_80,Cairo,Egypt
81,Customer_81,Cairo,Egypt
82,Customer_82,Cairo,Egypt
83,Customer_83,Cairo,Egypt
84,Customer_84,Cairo,Egypt
85,Customer_85,Alexandria,Egypt
86,Customer_86,Cairo,Egypt
87,Customer_87,Alexandria,Egypt
88,Customer_88,Alexandria,Egypt
89,Customer_89,Alexandria,Egypt
90,Customer_90,Cairo,Egypt
91,Customer_91,Alexandria,Egypt
92,Customer_92,Alexandria,Egypt
93,Customer_93,Cairo,Egypt
94,Customer_94,Alexandria,Egypt
95,Customer_95,Alexandria,Egypt
96,Customer_96,Cairo,Egypt
97,Customer_97,Cairo,Egypt
98,Customer_98,Giza,Egypt
99,Customer_99,Giza,Egypt
100,Customer_100,Cairo,Egypt
101,Customer_101,Alexandria,Egypt
102,Customer_102,Alexandria,Egypt
103,Customer_103,Alexandria,Egypt
104,Customer_104,Cairo,Egypt
105,Customer_105,Alexandria,Egypt
106,Customer_106,Cairo,Egypt
107,Customer_107,Cairo,Egypt
108,Customer_108,Cairo,Egypt
109,Customer_109,Cairo,Egypt
110,Customer_110,Cairo,Egypt
111,Customer_111,Giza,Egypt
112,Customer_112,Cairo,Egypt
113,Customer_113,Cairo,Egypt
114,Customer_114,Cairo,Egypt
115,Customer_115,Alexandria,Egypt
116,Customer_116,Alexandria,Egypt
117,Customer_117,Cairo,Egypt
118,Customer_118,Cairo,Egypt
119,Customer_119,Alexandria,Egypt
120,Customer_120,Giza,Egypt
121,Customer_121,Giza,Egypt
122,Customer_122,Alexandria,Egypt
123,Customer_123,Giza,Egypt
124,Customer_124,Cairo,Egypt
125,Customer_125,Cairo,Egypt
126,Customer_126,Cairo,Egypt
127,Customer_127,Cairo,Egypt
128,Customer_128,Alexandria,Egypt
129,Customer_129,Alexandria,Egypt
130,Customer_130,Alexandria,Egypt
131,Customer_131,Cairo,Egypt
132,Customer_132,Alexandria,Egypt
133,Customer_133,Alexandria,Egypt
134,Customer_134,Giza,Egypt
135,Customer_135,Alexandria,Egypt
136,Customer_136,Giza,Egypt
137,Customer_137,Cairo,Egypt
138,Customer_138,Cairo,Egypt
139,Customer_139,Cairo,Egypt
140,Customer_140,Alexandria,Egypt
141,Customer_141,Giza,Egypt
142,Customer_142,Cairo,Egypt
143,Customer_143,Cairo,Egypt
144,Customer_144,Cairo,Egypt
145,Customer_145,Cairo,Egypt
146,Customer_146,Alexandria,Egypt
147,Customer_147,Cairo,Egypt
148,Customer_148,Alexandria,Egypt
149,Customer_149,Giza,Egypt
150,Customer_150,Alexandria,Egypt
151,Customer_151,Cairo,Egypt
152,Customer_152,Giza,Egypt
153,Customer_153,Giza,Egypt
154,Customer_154,Alexandria,Egypt
155,Customer_155,Giza,Egypt
